Date,Expenses,Category,Amount,Municipality,Province,Region,ID
7-6-2021,Grocery,Survival,662.12,Quezon City,Metro Manila,National Capital Region,E2021-272
7-6-2021,Transportation,Survival,35,Quezon City,Metro Manila,National Capital Region,E2021-273
7-8-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-274
7-8-2021,Garbage,Obligation,10,Quezon City,Metro Manila,National Capital Region,E2021-275
7-8-2021,Food/Drinks,Optional,3,Quezon City,Metro Manila,National Capital Region,E2021-276
7-9-2021,Food/Drinks,Survival,164,Quezon City,Metro Manila,National Capital Region,E2021-277
7-11-2021,Food/Drinks,Survival,94,Quezon City,Metro Manila,National Capital Region,E2021-278
7-11-2021,Food/Drinks,Optional,23,Quezon City,Metro Manila,National Capital Region,E2021-279
7-12-2021,Bank fees,Obligation,25,Quezon City,Metro Manila,National Capital Region,E2021-280
7-13-2021,Grocery,Survival,498.3,Quezon City,Metro Manila,National Capital Region,E2021-281
7-13-2021,Transportation,Survival,35,Quezon City,Metro Manila,National Capital Region,E2021-282
7-14-2021,Magazines/Newspapers/Books,Optional,435,Quezon City,Metro Manila,National Capital Region,E2021-283
7-14-2021,Transportation,Survival,111,Quezon City,Metro Manila,National Capital Region,E2021-284
7-14-2021,Food/Drinks,Optional,110,Quezon City,Metro Manila,National Capital Region,E2021-285
7-14-2021,Phone/Internet,Optional,90,Quezon City,Metro Manila,National Capital Region,E2021-286
7-14-2021,Food/Drinks,Survival,18,Quezon City,Metro Manila,National Capital Region,E2021-287
7-15-2021,Home,Optional,5000,Pontevedra,Capiz,Western Visayas,E2021-288
7-15-2021,Home,Obligation,3000,Pontevedra,Capiz,Western Visayas,E2021-289
7-15-2021,Debt repayment,Obligation,1670,Makati City,Metro Manila,National Capital Region,E2021-290
7-15-2021,Pension Fund,Obligation,1300,Makati City,Metro Manila,National Capital Region,E2021-291
7-16-2021,Food/Drinks,Survival,165,Quezon City,Metro Manila,National Capital Region,E2021-292
7-18-2021,Personal care items (drugstore),Survival,700,Quezon City,Metro Manila,National Capital Region,E2021-293
